Id|Statement A|Theme A|Statement B|Theme B
69|I try to stay within my comfort zone.|Deliberative|I am a thrill seeker.|Activator
70|I can understand the feelings of those around me.|Empathy|I enjoy discussing big ideas with those around me.|Intellection
71|What matters is how people are and my opinion of whether I like them or not.|Individualization|I do not like people who act against my nature.|Consistency
72|I trust my heart for important decisions.|Empathy|I use my mind for important decisions.|Analytical
73|I react to things as they arise.|Adaptability|I prioritize issues first, then take action.|Strategic
74|I love everyone.|Connectedness|I want everyone to like me.|Woo
75|My driving force is the goals I have in mind.|Focus|My driving force is my mission in life (what I was created for).|Belief
76|Every week, I set performance goals for myself.|Achiever|What I do each day is determined by the demands of the day, not by previous plans.|Adaptability
77|I like to be present and not in the past or future.|Adaptability|I live for the future.|Futuristic
78|I have to force myself to study.|Discipline|I can focus on the things that are important and important to me.|Focus
79|I love anything that has to do with children.|Developer|I prefer to deal with mature people.|Deliberative
80|I like things that require attention to detail.|Analytical|I prefer to work as part of a team.|Relator
81|I study what motivates others.|Intellection|I am an introvert.|Intellection
82|I am a person with specific and repetitive daily activities.|Discipline|I am funny.|Positivity
83|I am passionate about education.|Learner|I am passionate about ending violence.|Belief
84|I like to be heard.|Communication|I like to listen.|Empathy
85|I can tell stories well.|Communication|I am a good coach.|Developer
86|I am satisfied with my progress in life.|Self-assurance|I am concerned about my future.|Futuristic
87|I like to talk.|Communication|I like to think.|Intellection
88|I am an idealist.|Ideation|I am a finisher who gets things done.|Achiever
89|My way of thinking is very realistic and practical.|Analytical|My thinking is creative and strategic.|Strategic
90|I look for people who are honest with me about my weaknesses.|Deliberative|I interact with people who value my strengths|Maximizer
91|First of all, I have to take care of myself.|Self-assurance|I feel the need to make sacrifices for others.|Responsibility
92|I am a very social person.|Woo|I like to work hard with my friends.|Relator
93|I never fail to express myself and always get my point across.|Communication|I can hardly talk about myself and I have few words.|Deliberative
94|I hardly get anxious and do not feel much responsibility.|Adaptability|I am a serious person.|Deliberative
95|I love to study and learn.|Learner|I love social connections so much that I can't live without them.|Connectedness
96|I am often forgetful.|Adaptability|I have a habit of checking everything to make sure everything is in its place.|Discipline
97|I notice the differences between different people when dealing with them.|Individualization|I treat everyone equally.|Consistency
98|My path to success is to overcome weaknesses and eliminate shortcomings.|Restorative|My path to success is to invest in my talents and abilities.|Maximizer
99|When the going gets tough and I want everything to be done perfectly, I tend to do things myself.|Self-assurance|When the going gets tough and I want everything to be perfect, I prefer to rely on the abilities of my team members rather than trying to do it all myself.|Harmony
100|I am a social person.|Woo|I can be social when I need to be.|Adaptability
101|I want to have as many friends as possible.|Includer|I want to have a few friends who are very important to me and who I have deep friendships with.|Relator
102|Sometimes, it can be justified to change the truth.|Adaptability|Lying is never justified.|Belief
103|I want a few friends who I know a lot about.|Relator|I am always making new friends.|Woo
104|I am always well-known.|Significance|I am known for my sense of humor.|Positivity
105|The future is not predetermined, I create my own.|Self-assurance|I have the ability to analyze and analyze opportunities that will come my way.|Strategic
106|I like to challenge others.|Command|I like to encourage others.|Developer
107|I am a very conservative person.|Deliberative|My life story is not yet fully written and I am flexible in changing the direction of my life.|Adaptability
108|I am a generous and giving person.|Developer|I am a thrifty person.|Discipline
109|I am a leader.|Command|I am a high achiever and do not settle for less.|Achiever
110|Sometimes I flatter others.|Woo|I am a conscientious and responsible person.|Responsibility
111|I have the ability to study and research as much as possible.|Learner|I can't concentrate for long periods of time|Focus
112|I only admire someone when there is a valid and important reason for it and I do not admire anyone too much.|Deliberative|I am generous in admiring and appreciating my colleagues|Positivity
113|I am open to learning new things and topics.|Learner|My values ​​are stable and consistent.|Belief
114|I have a purpose for my life.|Belief|My life is very enjoyable.|Positivity
115|I enjoy philosophical discussions.|Intellection|I enjoy goal-setting meetings.|Achiever
116|I like to be alone.|Intellection|I am losing friends.|Relator
117|I have the ability to visualize the future.|Futuristic|I can understand what factors have caused the situation I am in today.|Context
118|It is easy for me to admit a bitter truth about myself.|Self-assurance|I have to work at being honest with myself.|Deliberative
119|If I were to talk about "who I am," I wouldn't mind.|Communication|I am very cautious about talking about my personal life.|Deliberative
120|As a child, I was really playful and independent.|Activator|As a child, I was well-adjusted and didn't cause problems for my peers or adults.|Harmony
121|I like to entertain others.|Woo|I like to go to fun events, such as sporting events.|Activator
122|I hate being controlled.|Self-assurance|I want to avoid feeling empty.|Connectedness
123|I avoid people who are disorganized.|Discipline|I don't interact with unreliable people.|Responsibility
124|I tend to seek guidance from people who know what to do in uncertain situations.|Input|I usually always know what is right, regardless of the situation or place I am in.|Self-assurance
125|People who haven't found their goals annoy me.|Focus|I don't like to be around people who can't keep their cool.|Harmony
126|I choose easy courses.|Adaptability|I choose challenging and difficult courses.|Learner
127|I hate deadlines.|Adaptability|What keeps me going is taking responsibility.|Responsibility
128|I encourage others.|Developer|I empower others.|Command
129|I trust others too much.|Adaptability|I am very ambitious.|Achiever
130|What has happened to me in the past inspires me.|Context|I am inspired by the achievements I can achieve in the future.|Futuristic
131|Last-minute pressures focus my thoughts.|Focus|The sooner I do things, the more open-minded and relaxed I feel.|Deliberative
132|I think most people would steal if given the opportunity.|Deliberative|I believe that people who steal should be punished.|Belief
133|My deepest desire is to be excited about my work.|Positivity|My greatest need and desire is to be accepted by others.|Woo
134|I am a logical person.|Analytical|I like discussion groups.|Communication
135|Most of my thoughts and energy are spent on the present.|Adaptability|I try to learn as much as I can by studying the past.|Context
136|I am satisfied and content when I do the best I can.|Achiever|I am determined to make a difference in the world.|Significance
137|I have a great desire to learn.|Learner|I need to be understood and understood.|Empathy
138|I think a lot about cause and effect relationships.|Analytical|I accept things as they come.|Adaptability
139|I always need to understand why I have failed.|Restorative|I enjoy my current successes.|Achiever
140|There is a source of dissatisfaction in my life.|Restorative|I am content with my life.|Positivity
141|I seek responsibility.|Responsibility|I strive for advancement.|Achiever
142|I am gentle and accommodating with others.|Harmony|I am a risk taker.|Activator
143|I spend 25% of my time thinking about the future.|Futuristic|I spend 70% of my time thinking about the future.|Futuristic
144|I guide and inspire my friends to get things done.|Developer|I make people I work with compatible with each other.|Arranger
145|I file a lawsuit if necessary.|Command|I find it necessary to focus others' attention only on what is right.|Belief
146|In addition to the hours I work during the day, if I also count the work I do outside of office hours, my typical work week is between 40-50 hours.|Discipline|In addition to the hours I work during the day, if I also count the work I do outside of office hours, my typical work week would be over 60 hours.|Achiever
147|I am a cheerful and cheerful person.|Positivity|I am a serious person.|Deliberative
148|I find it easy to start new tasks and projects.|Activator|My problem is finishing projects.|Discipline
149|I can get along with any type of person.|Adaptability|I choose my friends carefully.|Individualization
150|I cry easily.|Empathy|I am determined and persistent.|Focus
151|I observe life.|Intellection|I intend to control the events in my life.|Command
152|When necessary, I can focus on my work for long hours, for example, all night long.|Focus|An hour is the most time I can concentrate on work or study.|Focus
153|I am not satisfied with small successes and seek big successes.|Maximizer|I consistently achieve positive results.|Achiever
154|I can be smarter and more cunning than other people.|Strategic|Some people scare me.|Deliberative
155|I function best when I am doing several things at once.|Arranger|My method is to focus on one thing at a time.|Focus
156|I have had a mentor or teacher who really paid attention to me, apart from others.|Developer|Whether a teacher likes me or not doesn't matter at all.|Self-assurance
157|I am a good initiator.|Activator|I have the power to follow through on a task.|Achiever
158|I am good at bringing people together to implement a project.|Relator|I am good at designing and creating new projects.|Ideation
159|My mind is very involved in numbers and figures.|Analytical|I often think about the beauty I have seen.|Ideation
160|I prefer topics that make me think.|Intellection|I prefer to talk about sports.|Competition
161|The words I use engage and stimulate the mind and the mind.|Communication|My vocabulary is made up of practical words.|Communication
162|My expression is made up of simple and short words.|Communication|I tend to use a lot of abstract and complex words.|Intellection
163|It is easy for me to express my thoughts and express them.|Communication|Sometimes I struggle to express my ideas and my words fall short.|Deliberative
164|I love to read.|Learner|I like to understand how things work.|Analytical
165|My mind is always active and jumping.|Adaptability|I need to be physically active.|Activator
166|I enjoy giving speeches.|Communication|I like discussion groups.|Communication
167|I love studying.|Learner|I get excited about finding a pattern in data.|Analytical
168|I have a strong desire to know more.|Learner|I have a strong desire to get rich.|Significance
169|I always finish work before deadlines.|Discipline|I try my best and do what I set out to do.|Responsibility
170|A new idea makes my day and makes me happy.|Ideation|Completing the tasks that are expected of me makes my day special and makes me happy.|Achiever
171|When I am in a group, I seem to have more ideas than anyone else.|Ideation|I seem to be at my best when I am in a group.|Relator
172|I never stop gathering and acquiring information.|Input|I have a talent for simplifying complex issues.|Strategic
173|Winning is everything.|Competition|Doing things right is everything.|Consistency
174|My mindset and philosophy determine the direction and direction of my life.|Belief|I set my own direction in life.|Self-assurance
175|I spend 5 hours or more each week thinking alone.|Intellection|I like being with people.|Woo
176|I know my strengths better than my weaknesses.|Self-assurance|I know my weaknesses better than my strengths.|Restorative
177|I don’t really care whether other people like me or not.|Self-assurance|I love people.|Connectedness
